ts,sessionId,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,success,year,month,hour,day
2026-05-22T21:27:42.000+07:00,39,free,2,Asbury Park,,NJ,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,-74.053712,40.249708,40,Santana,Lydia,F,1768974512000,true,2026,5,21,22
2026-04-30T21:59:44.000+07:00,158,paid,1,Himrod,,NY,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-76.981134,42.600505,56,Williams,Celeste,F,1753186051000,true,2026,4,21,30
2026-05-07T22:03:15.000+07:00,191,paid,5,Teaneck,,NJ,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.011478,40.890317,71,Hill,Christopher,M,1620362845000,true,2026,5,22,7
2026-06-15T23:58:02.000+07:00,222,free,1,Mesa,,AZ,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-111.769015,33.448733,30,Lin,Sima,F,1623732445000,true,2026,6,23,15
2026-07-18T12:22:33.000+07:00,187,free,6,Flagstaff,,AZ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-111.373463,35.380939,87,Hickman,Claire,F,1626497245000,true,2026,7,12,18
2026-05-24T17:40:17.000+07:00,306795,free,1,Monterey,,CA,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36""",-121.840727,36.57485,306796,Schmidt,Aden,M,1718377046000,true,2026,5,17,24
2026-06-09T17:40:19.000+07:00,768378,paid,26,Sandy,,UT,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-111.706362,40.554125,768379,Navarro,Olivia,F,1681582103000,true,2026,6,17,9
2026-03-28T17:40:21.000+07:00,1674884,free,6,Providence,,RI,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-71.436309,41.858331,939391,Fernandez,Thomas,M,1616906415000,true,2026,3,17,28
2026-07-24T17:40:23.000+07:00,611031,free,1,Baltimore,,MD,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-76.671717,39.310595,611032,Gilmore,Shelby,F,1714221385000,true,2026,7,17,24
2026-05-11T17:40:28.000+07:00,597326,free,2,Ionia,,MI,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-85.057887,42.986125,597327,Bailey,John,M,1715384625000,true,2026,5,17,11
2026-07-02T17:40:42.000+07:00,948461,free,1,Blackwood,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/6.1.5 Safari/537.77.4""",-75.056068,39.783815,948462,Williams,Anthony,M,1625200815000,true,2026,7,17,2
